unique_id,state,city,county,age,demo,score1,score2,first_name,last_name,phone,registration_status
19977438,PA,GLENMOORE,CHESTER,23,Caucasian,50,1.1,firstname1,lastname1,1234567890,Registered
23335088,PA,NESCOPECK,LUZERNE,20,Caucasian,58.1,16.6,firstname2,lastname2,NA,Registered
2297886,AZ,MARICOPA,PINAL,35,Caucasian,66.3,0.5,firstname3,lastname3,1234567890,Registered
9014409,NC,GREENSBORO,GUILFORD,31,Other,78,97.8,firstname4,lastname4,1234567890,Registered
34029146,TX,AUSTIN,TRAVIS,29,Caucasian,95.5,90.4,firstname5,lastname5,1234567890,Registered
19739328,PA,PITTSBURGH,ALLEGHENY,23,Caucasian,16,87.1,firstname6,lastname6,NA,Registered
19100437,NC,CHARLOTTE,MECKLENBURG,20,African-American,48.2,98,firstname7,lastname7,1234567890,Registered
20282337,PA,TARENTUM,ALLEGHENY,35,Caucasian,85.8,97.4,firstname8,lastname8,1234567890,Registered
33894846,TX,WICHITA FALLS,WICHITA,26,Caucasian,29.2,78.8,firstname9,lastname9,1234567890,Registered
39443448,TX,ROCKWALL,ROCKWALL,19,Caucasian,74.2,19.2,firstname10,lastname10,NA,Registered
13146172,MI,WYOMING,KENT,32,Caucasian,93.6,11,firstname11,lastname11,NA,Registered
17175736,MI,GRAND RAPIDS,KENT,19,Caucasian,46.9,89.6,firstname12,lastname12,NA,Registered
5045611,NV,LAS VEGAS,CLARK,22,Caucasian,50.4,88.4,firstname13,lastname13,1234567890,Registered
11709613,TX,AUSTIN,TRAVIS,31,Caucasian,92.5,77.3,firstname14,lastname14,1234567890,Registered
30570439,TX,MESQUITE,DALLAS,26,Hispanic,95.6,59.5,firstname15,lastname15,1234567890,Registered
14941829,NC,WILMINGTON,NEW HANOVER,24,Caucasian,12.7,55.6,firstname16,lastname16,NA,Registered
7083766,WI,SOUTH MILWAUKEE,MILWAUKEE,29,Caucasian,16.5,83.4,firstname17,lastname17,1234567890,Unregistered
8098075,PA,LEBANON,LEBANON,31,Caucasian,92.6,1.1,firstname18,lastname18,1234567890,Registered
18055881,NC,DURHAM,DURHAM,26,Caucasian,95.8,97,firstname19,lastname19,1234567890,Registered
13036238,WI,MILWAUKEE,MILWAUKEE,32,Asian,91.6,97.9,firstname20,lastname20,1234567890,Registered
38108757,TX,ELGIN,BASTROP,29,Caucasian,70.9,64.5,firstname21,lastname21,1234567890,Registered
32847146,TX,DENTON,DENTON,29,Caucasian,21.9,26,firstname22,lastname22,1234567890,Registered
13033428,TX,GRANBURY,HOOD,32,Caucasian,92.9,3.8,firstname23,lastname23,1234567890,Registered
10159225,AZ,GILBERT,MARICOPA,29,Caucasian,96.7,1.5,firstname24,lastname24,1234567890,Registered
13443344,TX,LEANDER,WILLIAMSON,29,Caucasian,97.5,18.8,firstname25,lastname25,1234567890,Registered
14317894,MI,VAN BUREN TWP,WAYNE,24,Caucasian,97,98.9,firstname26,lastname26,1234567890,Registered
33093374,TX,SAN ANTONIO,BEXAR,25,Hispanic,17.9,62.3,firstname27,lastname27,NA,Registered
7260795,MI,MOUNT MORRIS,GENESEE,33,African-American,12.8,92.4,firstname28,lastname28,NA,Registered
15673979,NC,BURNSVILLE,YANCEY,23,Caucasian,72.6,1.8,firstname29,lastname29,1234567890,Registered
15782842,NC,CHARLOTTE,MECKLENBURG,23,Hispanic,35.3,5.1,firstname30,lastname30,NA,Registered
11122306,TX,HOUSTON,HARRIS,32,Caucasian,42,6.6,firstname31,lastname31,NA,Registered
