unique_id,state,city,county,age,demo,turnout_score,partisan_score,first_name,last_name,phone,registration_status
7282326,TX,FORT WORTH,TARRANT,32,Caucasian,2.5,93.5,firstname1,lastname1,1234567890,Registered
27995236,TX,HOUSTON,HARRIS,43,Caucasian,2.5,83.9,firstname2,lastname2,1234567891,Registered
30406519,TX,SAN ANTONIO,BEXAR,24,Uncoded,2.5,66.1,firstname3,lastname3,1234567892,Registered
11126305,TX,MISSOURI CITY,FORT BEND,32,African-American,2.5,69.7,firstname4,lastname4,1234567893,Registered
2764553,TX,HOUSTON,HARRIS,39,Hispanic,2.5,79.1,firstname5,lastname5,1234567894,Registered
34674607,TX,GILMER,UPSHUR,24,Caucasian,2.5,44.8,firstname6,lastname6,1234567895,Registered
34311794,TX,MANSFIELD,TARRANT,24,Caucasian,2.5,65.8,firstname7,lastname7,1234567896,Registered
27766151,TX,NEW BRAUNFELS,COMAL,40,Caucasian,2.5,67,firstname8,lastname8,1234567897,Registered
12864355,TX,SAN ANTONIO,BEXAR,37,Caucasian,2.5,43.1,firstname9,lastname9,1234567898,Registered
33311819,TX,TEMPLE,BELL,40,Caucasian,2.5,58.5,firstname10,lastname10,1234567899,Registered
34696120,TX,EL PASO,EL PASO,40,Caucasian,2.5,60.5,firstname11,lastname11,1234567900,Registered
29465379,TX,BEDFORD,TARRANT,38,Caucasian,2.5,65.4,firstname12,lastname12,1234567901,Registered
10521805,TX,FLOWER MOUND,DENTON,43,Caucasian,2.5,46.3,firstname13,lastname13,1234567902,Registered
32303141,TX,HOUSTON,HARRIS,32,Caucasian,2.5,70.7,firstname14,lastname14,1234567903,Registered
34031058,TX,SAN ANTONIO,BEXAR,36,Caucasian,2.5,61.7,firstname15,lastname15,1234567904,Registered
38438532,TX,HOUSTON,HARRIS,25,African-American,2.5,97.7,firstname16,lastname16,1234567905,Unregistered
31271657,TX,GALVESTON,GALVESTON,34,African-American,2.5,91.8,firstname17,lastname17,1234567906,Registered
9105604,TX,LIPAN,PALO PINTO,44,Caucasian,2.5,15.3,firstname18,lastname18,1234567907,Registered
13461250,TX,HOUSTON,HARRIS,45,Caucasian,2.5,84.3,firstname19,lastname19,1234567908,Registered
29868954,TX,CYPRESS,HARRIS,33,Caucasian,2.5,82.1,firstname20,lastname20,1234567909,Registered
34234917,TX,SACHSE,DALLAS,21,Caucasian,2.5,50.6,firstname21,lastname21,1234567910,Registered
35603711,TX,AMARILLO,POTTER,27,Caucasian,2.5,29.9,firstname22,lastname22,1234567911,Unregistered
32485095,TX,BORGER,HUTCHINSON,44,Caucasian,2.5,43.8,firstname23,lastname23,1234567912,Registered
9953418,TX,WILLIS,MONTGOMERY,35,Caucasian,2.5,50.4,firstname24,lastname24,1234567913,Registered
30032039,TX,SAN ANTONIO,BEXAR,40,Caucasian,2.5,49,firstname25,lastname25,1234567914,Registered
38934612,TX,HUMBLE,HARRIS,37,Caucasian,2.5,46,firstname26,lastname26,1234567915,Unregistered
31632426,TX,HOUSTON,HARRIS,40,African-American,2.5,77,firstname27,lastname27,1234567916,Registered
30716013,TX,DALLAS,COLLIN,34,Caucasian,2.5,58.4,firstname28,lastname28,1234567917,Registered
6212052,TX,TYLER,SMITH,36,Caucasian,2.5,13.8,firstname29,lastname29,1234567918,Registered
25212108,TX,AUBREY,DENTON,32,Caucasian,2.5,82.1,firstname30,lastname30,1234567919,Registered
8231658,TX,AUSTIN,WILLIAMSON,34,Caucasian,2.5,73.4,firstname31,lastname31,1234567920,Registered
4394477,TX,SAN ANTONIO,BEXAR,44,Hispanic,2.5,82.1,firstname32,lastname32,1234567921,Registered
11910401,TX,SAN ANTONIO,BEXAR,37,Caucasian,2.5,79.7,firstname33,lastname33,1234567922,Registered
9000188,TX,SAN ANTONIO,BEXAR,41,Caucasian,2.5,36.1,firstname34,lastname34,1234567923,Registered
25211,TX,SAN ANTONIO,BEXAR,42,Caucasian,2.5,20.3,firstname35,lastname35,1234567924,Registered
21983194,TX,AZLE,PARKER,39,Caucasian,2.5,24.1,firstname36,lastname36,1234567925,Unregistered
20784207,TX,MAGNOLIA,MONTGOMERY,41,Caucasian,2.5,20.2,firstname37,lastname37,1234567926,Registered
25239247,TX,FORT WORTH,TARRANT,27,Caucasian,2.5,54.8,firstname38,lastname38,1234567927,Registered
7941707,TX,GAINESVILLE,COOKE,35,Caucasian,2.5,10.8,firstname39,lastname39,1234567928,Registered
34480394,TX,HOUSTON,HARRIS,24,Uncoded,2.5,83.9,firstname40,lastname40,1234567929,Unregistered
30010876,TX,ALPINE,BREWSTER,30,Caucasian,2.5,80.3,firstname41,lastname41,1234567930,Registered
34816069,TX,FLORESVILLE,WILSON,34,Caucasian,2.5,28.2,firstname42,lastname42,1234567931,Registered
27144169,TX,DALLAS,DALLAS,28,African-American,2.5,95.8,firstname43,lastname43,1234567932,Registered
31234976,TX,SAN ANTONIO,BEXAR,34,Caucasian,2.5,73.1,firstname44,lastname44,1234567933,Registered
27407604,TX,EL PASO,EL PASO,43,Caucasian,2.5,44.2,firstname45,lastname45,1234567934,Registered
31280143,TX,LONGVIEW,GREGG,32,Caucasian,2.5,37.4,firstname46,lastname46,1234567935,Registered
32718008,TX,LITTLE ELM,DENTON,34,Caucasian,2.5,66.3,firstname47,lastname47,1234567936,Registered
38962152,TX,MIDLOTHIAN,ELLIS,33,Uncoded,2.5,52.4,firstname48,lastname48,1234567937,Unregistered
12560186,TX,LUFKIN,ANGELINA,31,African-American,2.5,37.4,firstname49,lastname49,1234567938,Registered
29472205,TX,HARKER HEIGHTS,BELL,25,Caucasian,2.5,88,firstname50,lastname50,1234567939,Registered
1021608,TX,CHANNELVIEW,HARRIS,32,African-American,2.5,62.2,firstname51,lastname51,1234567940,Registered
