unique_id,state,city,county,age,demo,score1,score2,first_name,last_name,phone,status
141676,MI,PLYMOUTH,WAYNE,35,Uncoded,97.7,66.1,firstname1,lastname1,1234567890,Registered
40678772,TX,DALLAS,DALLAS,35,African-American,71.1,83.7,firstname2,lastname2,1234567890,Registered
18721117,NC,HIGH POINT,GUILFORD,27,African-American,10.6,99,firstname3,lastname3,1234567890,Unregistered
17742998,PA,BETHLEHEM,NORTHAMPTON,27,Caucasian,7.6,55,firstname4,lastname4,1234567890,Registered
12884478,NC,RALEIGH,WAKE,31,Caucasian,90.8,2.3,firstname5,lastname5,1234567890,Registered
12213000,NC,HOLLY SPRINGS,WAKE,32,Caucasian,9.7,2.3,firstname6,lastname6,1234567890,Registered
3632040,AZ,SCOTTSDALE,MARICOPA,29,Caucasian,31.7,24.6,firstname7,lastname7,1234567890,Registered
14409751,NC,RALEIGH,WAKE,25,African-American,61.5,98.9,firstname8,lastname8,1234567890,Registered
15742823,NC,CARRBORO,ORANGE,28,Caucasian,96,99.2,firstname9,lastname9,1234567890,Registered
3825998,NV,LAS VEGAS,CLARK,32,Caucasian,10.9,1.5,firstname10,lastname10,1234567890,Unregistered
18815425,NC,CHARLOTTE,MECKLENBURG,26,Caucasian,69.6,90.8,firstname11,lastname11,1234567890,Registered
41162386,TX,EL PASO,EL PASO,34,Hispanic,67.8,35.7,firstname12,lastname12,1234567890,Registered
33151949,TX,SULPHUR SPRINGS,HOPKINS,22,Caucasian,46.9,25.2,firstname13,lastname13,1234567890,Registered
32200310,TX,SUGAR LAND,FORT BEND,30,African-American,97.6,95,firstname14,lastname14,1234567890,Registered
33449676,TX,EDINBURG,HIDALGO,31,Hispanic,16.9,70.1,firstname15,lastname15,1234567890,Registered
36474900,TX,AUSTIN,TRAVIS,20,Caucasian,97.4,97.8,firstname16,lastname16,1234567890,Registered
4530561,NV,LAS VEGAS,CLARK,32,Caucasian,95.6,13.9,firstname17,lastname17,1234567890,Registered
11394500,AZ,CHANDLER,MARICOPA,21,Caucasian,62.1,95.9,firstname18,lastname18,1234567890,Registered
9377203,AZ,CHANDLER,MARICOPA,33,Caucasian,11.6,82.4,firstname19,lastname19,1234567890,Unregistered
1510607,NH,BARRINGTON,STRAFFORD,33,Caucasian,68.6,0.7,firstname20,lastname20,1234567890,Registered
31551971,TX,SAN ANTONIO,BEXAR,29,Caucasian,8,32.2,firstname21,lastname21,1234567890,Registered
9100795,AZ,GILBERT,MARICOPA,33,Caucasian,1.2,0.7,firstname22,lastname22,1234567890,Registered
40984190,TX,AUSTIN,TRAVIS,25,Caucasian,20.3,85.9,firstname23,lastname23,1234567890,Unregistered
9490137,AZ,PEORIA,MARICOPA,30,Caucasian,5.1,38.2,firstname24,lastname24,1234567890,Unregistered
9215709,AZ,GLENDALE,MARICOPA,24,Caucasian,17,3,firstname25,lastname25,1234567890,Registered
33492549,TX,MIDLAND,MIDLAND,27,Caucasian,85.1,47.9,firstname26,lastname26,1234567890,Registered
38933082,TX,SAN ANTONIO,BEXAR,23,Hispanic,7.1,65.4,firstname27,lastname27,1234567890,Unregistered
29526295,TX,SAN ANTONIO,BEXAR,31,Caucasian,56.5,45.2,firstname28,lastname28,1234567890,Registered
32997099,TX,SAN ANTONIO,BEXAR,32,Hispanic,29.1,33,firstname29,lastname29,1234567890,Registered
36485385,TX,SAN ANTONIO,BEXAR,21,Hispanic,43.3,49.4,firstname30,lastname30,1234567890,Registered
33757383,TX,SAN ANTONIO,BEXAR,27,Hispanic,12.6,51.3,firstname31,lastname31,1234567890,Registered
39970792,TX,SAN ANTONIO,BEXAR,35,Hispanic,23.4,14.8,firstname32,lastname32,1234567890,Unregistered
13428552,TX,ATASCOSA,BEXAR,30,Hispanic,68,57.4,firstname33,lastname33,1234567890,Registered
32918893,TX,SAN ANTONIO,BEXAR,23,Caucasian,61.5,70.6,firstname34,lastname34,1234567890,Registered
